Date,Open,High,Low,Close,Adj Close,Volume
1991-12-27,0.444444,0.449653,0.435764,0.446181,0.342151,74577600
1991-12-30,0.454861,0.468750,0.449653,0.465278,0.356795,74620800
1991-12-31,0.472222,0.473958,0.453125,0.460069,0.352801,106272000
1992-01-02,0.454861,0.460069,0.447917,0.456597,0.350139,76334400
1992-01-03,0.456597,0.465278,0.449653,0.465278,0.356795,65059200
1992-01-06,0.463542,0.467014,0.454861,0.467014,0.358127,47577600
1992-01-07,0.465278,0.489583,0.461806,0.486111,0.372771,112651200
1992-01-08,0.484375,0.515625,0.480903,0.508681,0.390079,158097600
1992-01-09,0.513889,0.522569,0.510417,0.511285,0.392076,116467200
1992-01-10,0.512153,0.512153,0.482639,0.501736,0.384753,129456000
1992-01-13,0.506944,0.513889,0.503472,0.506944,0.388747,68688000
1992-01-14,0.505208,0.510417,0.491319,0.505208,0.387416,107510400
1992-01-15,0.505208,0.524306,0.500000,0.519097,0.398067,110908800
1992-01-16,0.519097,0.538194,0.515625,0.526910,0.404058,148075200
1992-01-17,0.532986,0.534722,0.515625,0.520833,0.399398,94233600
1992-01-20,0.520833,0.522569,0.484375,0.487847,0.374103,107798400
1992-01-21,0.480903,0.484375,0.461806,0.465278,0.356795,213494400
1992-01-22,0.472222,0.506944,0.470486,0.503472,0.386085,201902400
1992-01-23,0.508681,0.519097,0.503472,0.512153,0.392741,166924800
1992-01-24,0.512153,0.520833,0.506944,0.513889,0.394073,96480000
1992-01-27,0.515625,0.524306,0.512153,0.517361,0.396735,59529600
1992-01-28,0.520833,0.526042,0.515625,0.518229,0.397401,62438400
1992-01-29,0.517361,0.526042,0.505208,0.506944,0.388747,124113600
1992-01-30,0.508681,0.519097,0.506944,0.517361,0.396735,48470400
1992-01-31,0.517361,0.531250,0.512153,0.521701,0.400064,89971200
1992-02-03,0.524306,0.552083,0.522569,0.547743,0.420033,129744000
1992-02-04,0.550347,0.560764,0.543403,0.559028,0.428687,113328000
1992-02-05,0.560764,0.579861,0.559028,0.575521,0.441335,128822400
1992-02-06,0.576389,0.602431,0.576389,0.585069,0.448657,148046400
1992-02-07,0.602431,0.605903,0.583333,0.593750,0.455314,184075200
1992-02-10,0.593750,0.593750,0.576389,0.583333,0.447326,90921600
1992-02-11,0.583333,0.583333,0.564236,0.576389,0.442000,96595200
1992-02-12,0.579861,0.597222,0.574653,0.593750,0.455314,90720000
1992-02-13,0.593750,0.604167,0.585069,0.592014,0.453982,104083200
1992-02-14,0.590278,0.592014,0.583333,0.585069,0.448657,63950400
1992-02-18,0.593750,0.598958,0.571181,0.572049,0.438672,105235200
1992-02-19,0.571181,0.576389,0.559028,0.567708,0.435344,173419200
1992-02-20,0.569444,0.585069,0.564236,0.580729,0.445329,79430400
1992-02-21,0.581597,0.581597,0.565972,0.565972,0.434012,59961600
1992-02-24,0.565972,0.567708,0.553819,0.555556,0.426024,120384000
1992-02-25,0.555556,0.557292,0.539931,0.551215,0.422696,121392000
1992-02-26,0.552083,0.583333,0.552083,0.577257,0.442666,100814400
1992-02-27,0.579861,0.581597,0.571181,0.572917,0.439338,31420800
1992-02-28,0.571181,0.577257,0.562500,0.565972,0.434012,41328000
1992-03-02,0.565972,0.565972,0.553819,0.562500,0.431350,43300800
1992-03-03,0.562500,0.572917,0.558160,0.559028,0.428687,73800000
1992-03-04,0.557292,0.562500,0.552083,0.555556,0.426024,61171200
1992-03-05,0.552083,0.552083,0.536458,0.548611,0.420699,66052800
1992-03-06,0.545139,0.553819,0.536458,0.541667,0.415374,80712000
1992-03-09,0.546875,0.552951,0.541667,0.546875,0.419368,75715200
1992-03-10,0.548611,0.564236,0.545139,0.559028,0.428687,60206400
1992-03-11,0.559028,0.562500,0.543403,0.546875,0.419368,57801600
1992-03-12,0.546875,0.552083,0.536458,0.549479,0.421365,94795200
1992-03-13,0.555556,0.559028,0.550347,0.550347,0.422031,56073600
1992-03-16,0.550347,0.552083,0.543403,0.549479,0.421365,38923200
1992-03-17,0.553819,0.574653,0.552083,0.571181,0.438006,98179200
1992-03-18,0.572917,0.585069,0.569444,0.581597,0.445994,79012800
1992-03-19,0.579861,0.583333,0.574653,0.575521,0.441335,34588800
1992-03-20,0.576389,0.579861,0.571181,0.575521,0.441335,58536000
1992-03-23,0.579861,0.590278,0.555556,0.562500,0.431350,49644000
1992-03-24,0.562500,0.569444,0.559028,0.569444,0.436675,46339200
1992-03-25,0.572917,0.597222,0.565972,0.593750,0.455314,53560800
1992-03-26,0.597222,0.597222,0.569444,0.586806,0.449988,51681600
1992-03-27,0.579861,0.586806,0.541667,0.541667,0.415374,85572000
1992-03-30,0.548611,0.562500,0.541667,0.541667,0.415374,54424800
1992-03-31,0.541667,0.565972,0.541667,0.548611,0.420699,56397600
1992-04-01,0.538194,0.562500,0.538194,0.562500,0.431350,55425600
1992-04-02,0.562500,0.579861,0.552083,0.553819,0.424693,55749600
